사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜보령발전본부,3,2018-04-01 00:00,TSP,5.94
한국중부발전㈜보령발전본부,3,2018-04-01 00:00,SOx,25.53
한국중부발전㈜보령발전본부,3,2018-04-01 00:00,NOx,26.47
한국중부발전㈜보령발전본부,3,2018-04-01 00:30,TSP,5.81
한국중부발전㈜보령발전본부,3,2018-04-01 00:30,SOx,26.99
한국중부발전㈜보령발전본부,3,2018-04-01 00:30,NOx,29.3
한국중부발전㈜보령발전본부,3,2018-04-01 01:00,TSP,5.91
한국중부발전㈜보령발전본부,3,2018-04-01 01:00,SOx,27.34
한국중부발전㈜보령발전본부,3,2018-04-01 01:00,NOx,31.64
한국중부발전㈜보령발전본부,3,2018-04-01 01:30,TSP,5.64
한국중부발전㈜보령발전본부,3,2018-04-01 01:30,SOx,28.39
한국중부발전㈜보령발전본부,3,2018-04-01 01:30,NOx,30.43
한국중부발전㈜보령발전본부,3,2018-04-01 02:00,TSP,5.85
한국중부발전㈜보령발전본부,3,2018-04-01 02:00,SOx,29.39
한국중부발전㈜보령발전본부,3,2018-04-01 02:00,NOx,38.36
한국중부발전㈜보령발전본부,3,2018-04-01 02:30,TSP,5.66
한국중부발전㈜보령발전본부,3,2018-04-01 02:30,SOx,29.82
한국중부발전㈜보령발전본부,3,2018-04-01 02:30,NOx,25.6
한국중부발전㈜보령발전본부,3,2018-04-01 03:00,TSP,5.52
한국중부발전㈜보령발전본부,3,2018-04-01 03:00,SOx,31.75
한국중부발전㈜보령발전본부,3,2018-04-01 03:00,NOx,26.46
한국중부발전㈜보령발전본부,3,2018-04-01 03:30,TSP,5.38
한국중부발전㈜보령발전본부,3,2018-04-01 03:30,SOx,32.29
한국중부발전㈜보령발전본부,3,2018-04-01 03:30,NOx,23.24
한국중부발전㈜보령발전본부,3,2018-04-01 04:00,TSP,5.19
한국중부발전㈜보령발전본부,3,2018-04-01 04:00,SOx,33.67
한국중부발전㈜보령발전본부,3,2018-04-01 04:00,NOx,24.91
한국중부발전㈜보령발전본부,3,2018-04-01 04:30,TSP,5.06
한국중부발전㈜보령발전본부,3,2018-04-01 04:30,SOx,36.78
한국중부발전㈜보령발전본부,3,2018-04-01 04:30,NOx,24.17
한국중부발전㈜보령발전본부,3,2018-04-01 05:00,TSP,4.89
한국중부발전㈜보령발전본부,3,2018-04-01 05:00,SOx,33.77
한국중부발전㈜보령발전본부,3,2018-04-01 05:00,NOx,27.53
한국중부발전㈜보령발전본부,3,2018-04-01 05:30,TSP,4.78
한국중부발전㈜보령발전본부,3,2018-04-01 05:30,SOx,35.72
한국중부발전㈜보령발전본부,3,2018-04-01 05:30,NOx,22.37
한국중부발전㈜보령발전본부,3,2018-04-01 06:00,TSP,4.7
한국중부발전㈜보령발전본부,3,2018-04-01 06:00,SOx,32.54
한국중부발전㈜보령발전본부,3,2018-04-01 06:00,NOx,25.22
한국중부발전㈜보령발전본부,3,2018-04-01 06:30,TSP,4.81
한국중부발전㈜보령발전본부,3,2018-04-01 06:30,SOx,29.13
한국중부발전㈜보령발전본부,3,2018-04-01 06:30,NOx,22.55
