사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜보령발전본부,3,2023-02-01 00:00,TSP,3.05
한국중부발전㈜보령발전본부,3,2023-02-01 00:00,SOx,1.15
한국중부발전㈜보령발전본부,3,2023-02-01 00:00,NOx,1.98
한국중부발전㈜보령발전본부,3,2023-02-01 00:30,TSP,3.06
한국중부발전㈜보령발전본부,3,2023-02-01 00:30,SOx,1.36
한국중부발전㈜보령발전본부,3,2023-02-01 00:30,NOx,1.76
한국중부발전㈜보령발전본부,3,2023-02-01 01:00,TSP,3.07
한국중부발전㈜보령발전본부,3,2023-02-01 01:00,SOx,1.52
한국중부발전㈜보령발전본부,3,2023-02-01 01:00,NOx,1.71
한국중부발전㈜보령발전본부,3,2023-02-01 01:30,TSP,3.01
한국중부발전㈜보령발전본부,3,2023-02-01 01:30,SOx,1.38
한국중부발전㈜보령발전본부,3,2023-02-01 01:30,NOx,1.73
한국중부발전㈜보령발전본부,3,2023-02-01 02:00,TSP,3.08
한국중부발전㈜보령발전본부,3,2023-02-01 02:00,SOx,1.66
한국중부발전㈜보령발전본부,3,2023-02-01 02:00,NOx,1.87
한국중부발전㈜보령발전본부,3,2023-02-01 02:30,TSP,3.09
한국중부발전㈜보령발전본부,3,2023-02-01 02:30,SOx,1.55
한국중부발전㈜보령발전본부,3,2023-02-01 02:30,NOx,1.74
한국중부발전㈜보령발전본부,3,2023-02-01 03:00,TSP,3.02
한국중부발전㈜보령발전본부,3,2023-02-01 03:00,SOx,1.85
한국중부발전㈜보령발전본부,3,2023-02-01 03:00,NOx,1.7
한국중부발전㈜보령발전본부,3,2023-02-01 03:30,TSP,3.12
한국중부발전㈜보령발전본부,3,2023-02-01 03:30,SOx,1.56
한국중부발전㈜보령발전본부,3,2023-02-01 03:30,NOx,1.61
한국중부발전㈜보령발전본부,3,2023-02-01 04:00,TSP,3.12
한국중부발전㈜보령발전본부,3,2023-02-01 04:00,SOx,1.75
한국중부발전㈜보령발전본부,3,2023-02-01 04:00,NOx,1.02
한국중부발전㈜보령발전본부,3,2023-02-01 04:30,TSP,3.08
한국중부발전㈜보령발전본부,3,2023-02-01 04:30,SOx,1.75
한국중부발전㈜보령발전본부,3,2023-02-01 04:30,NOx,1.5
