사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜보령발전본부,3,2024-10-01 00:00,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 00:00,SOx,3.02
한국중부발전㈜보령발전본부,3,2024-10-01 00:00,NOx,3.76
한국중부발전㈜보령발전본부,3,2024-10-01 00:00,O₂,4.49
한국중부발전㈜보령발전본부,3,2024-10-01 00:00,FL1,729565.0
한국중부발전㈜보령발전본부,3,2024-10-01 00:00,TMP,80.93
한국중부발전㈜보령발전본부,3,2024-10-01 00:30,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 00:30,SOx,3.31
한국중부발전㈜보령발전본부,3,2024-10-01 00:30,NOx,3.82
한국중부발전㈜보령발전본부,3,2024-10-01 00:30,O₂,4.61
한국중부발전㈜보령발전본부,3,2024-10-01 00:30,FL1,729565.0
한국중부발전㈜보령발전본부,3,2024-10-01 00:30,TMP,80.65
한국중부발전㈜보령발전본부,3,2024-10-01 01:00,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 01:00,SOx,3.15
한국중부발전㈜보령발전본부,3,2024-10-01 01:00,NOx,3.9
한국중부발전㈜보령발전본부,3,2024-10-01 01:00,O₂,4.7
한국중부발전㈜보령발전본부,3,2024-10-01 01:00,FL1,729565.0
한국중부발전㈜보령발전본부,3,2024-10-01 01:00,TMP,80.53
한국중부발전㈜보령발전본부,3,2024-10-01 01:30,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 01:30,SOx,3.78
한국중부발전㈜보령발전본부,3,2024-10-01 01:30,NOx,3.68
한국중부발전㈜보령발전본부,3,2024-10-01 01:30,O₂,4.67
한국중부발전㈜보령발전본부,3,2024-10-01 01:30,FL1,729565.0
한국중부발전㈜보령발전본부,3,2024-10-01 01:30,TMP,80.61
한국중부발전㈜보령발전본부,3,2024-10-01 02:00,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 02:00,SOx,4.19
한국중부발전㈜보령발전본부,3,2024-10-01 02:00,NOx,3.77
한국중부발전㈜보령발전본부,3,2024-10-01 02:00,O₂,4.73
한국중부발전㈜보령발전본부,3,2024-10-01 02:00,FL1,729565.0
한국중부발전㈜보령발전본부,3,2024-10-01 02:00,TMP,80.63
한국중부발전㈜보령발전본부,3,2024-10-01 02:30,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 02:30,SOx,4.41
한국중부발전㈜보령발전본부,3,2024-10-01 02:30,NOx,4.47
한국중부발전㈜보령발전본부,3,2024-10-01 02:30,O₂,4.72
한국중부발전㈜보령발전본부,3,2024-10-01 02:30,FL1,729565.0
한국중부발전㈜보령발전본부,3,2024-10-01 02:30,TMP,80.65
한국중부발전㈜보령발전본부,3,2024-10-01 03:00,TSP,1.85
한국중부발전㈜보령발전본부,3,2024-10-01 03:00,SOx,5.22
한국중부발전㈜보령발전본부,3,2024-10-01 03:00,NOx,4.3
한국중부발전㈜보령발전본부,3,2024-10-01 03:00,O₂,4.7
한국중부발전㈜보령발전본부,3,2024-10-01 03:00,FL1,729565.0
