사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜신보령발전본부,1,2022-04-01 00:00,TSP,0.7
한국중부발전㈜신보령발전본부,1,2022-04-01 00:00,SOx,5.82
한국중부발전㈜신보령발전본부,1,2022-04-01 00:00,NOx,7.58
한국중부발전㈜신보령발전본부,1,2022-04-01 00:30,TSP,0.7
한국중부발전㈜신보령발전본부,1,2022-04-01 00:30,SOx,6.03
한국중부발전㈜신보령발전본부,1,2022-04-01 00:30,NOx,6.22
한국중부발전㈜신보령발전본부,1,2022-04-01 01:00,TSP,0.69
한국중부발전㈜신보령발전본부,1,2022-04-01 01:00,SOx,6.0
한국중부발전㈜신보령발전본부,1,2022-04-01 01:00,NOx,6.2
한국중부발전㈜신보령발전본부,1,2022-04-01 01:30,TSP,0.73
한국중부발전㈜신보령발전본부,1,2022-04-01 01:30,SOx,6.2
한국중부발전㈜신보령발전본부,1,2022-04-01 01:30,NOx,6.74
한국중부발전㈜신보령발전본부,1,2022-04-01 02:00,TSP,0.78
한국중부발전㈜신보령발전본부,1,2022-04-01 02:00,SOx,5.88
한국중부발전㈜신보령발전본부,1,2022-04-01 02:00,NOx,6.57
한국중부발전㈜신보령발전본부,1,2022-04-01 02:30,TSP,0.8
한국중부발전㈜신보령발전본부,1,2022-04-01 02:30,SOx,6.57
한국중부발전㈜신보령발전본부,1,2022-04-01 02:30,NOx,7.15
한국중부발전㈜신보령발전본부,1,2022-04-01 03:00,TSP,0.82
한국중부발전㈜신보령발전본부,1,2022-04-01 03:00,SOx,7.51
한국중부발전㈜신보령발전본부,1,2022-04-01 03:00,NOx,7.39
한국중부발전㈜신보령발전본부,1,2022-04-01 03:30,TSP,0.81
한국중부발전㈜신보령발전본부,1,2022-04-01 03:30,SOx,8.41
한국중부발전㈜신보령발전본부,1,2022-04-01 03:30,NOx,8.11
한국중부발전㈜신보령발전본부,1,2022-04-01 04:00,TSP,0.79
한국중부발전㈜신보령발전본부,1,2022-04-01 04:00,SOx,8.53
한국중부발전㈜신보령발전본부,1,2022-04-01 04:00,NOx,9.26
한국중부발전㈜신보령발전본부,1,2022-04-01 04:30,TSP,0.81
한국중부발전㈜신보령발전본부,1,2022-04-01 04:30,SOx,9.15
한국중부발전㈜신보령발전본부,1,2022-04-01 04:30,NOx,9.53
한국중부발전㈜신보령발전본부,1,2022-04-01 05:00,TSP,0.8
한국중부발전㈜신보령발전본부,1,2022-04-01 05:00,SOx,9.91
한국중부발전㈜신보령발전본부,1,2022-04-01 05:00,NOx,8.85
한국중부발전㈜신보령발전본부,1,2022-04-01 05:30,TSP,0.79
한국중부발전㈜신보령발전본부,1,2022-04-01 05:30,SOx,10.14
한국중부발전㈜신보령발전본부,1,2022-04-01 05:30,NOx,8.99
한국중부발전㈜신보령발전본부,1,2022-04-01 06:00,TSP,0.77
한국중부발전㈜신보령발전본부,1,2022-04-01 06:00,SOx,10.48
한국중부발전㈜신보령발전본부,1,2022-04-01 06:00,NOx,8.26
한국중부발전㈜신보령발전본부,1,2022-04-01 06:30,TSP,0.78
한국중부발전㈜신보령발전본부,1,2022-04-01 06:30,SOx,10.2
한국중부발전㈜신보령발전본부,1,2022-04-01 06:30,NOx,8.85
한국중부발전㈜신보령발전본부,1,2022-04-01 07:00,TSP,0.75
한국중부발전㈜신보령발전본부,1,2022-04-01 07:00,SOx,9.93
한국중부발전㈜신보령발전본부,1,2022-04-01 07:00,NOx,8.9
한국중부발전㈜신보령발전본부,1,2022-04-01 07:30,TSP,0.74
한국중부발전㈜신보령발전본부,1,2022-04-01 07:30,SOx,9.28
한국중부발전㈜신보령발전본부,1,2022-04-01 07:30,NOx,8.44
한국중부발전㈜신보령발전본부,1,2022-04-01 08:00,TSP,0.75
한국중부발전㈜신보령발전본부,1,2022-04-01 08:00,SOx,9.39
한국중부발전㈜신보령발전본부,1,2022-04-01 08:00,NOx,8.09
한국중부발전㈜신보령발전본부,1,2022-04-01 08:30,TSP,0.78
한국중부발전㈜신보령발전본부,1,2022-04-01 08:30,SOx,9.06
한국중부발전㈜신보령발전본부,1,2022-04-01 08:30,NOx,6.56
한국중부발전㈜신보령발전본부,1,2022-04-01 09:00,TSP,0.73
한국중부발전㈜신보령발전본부,1,2022-04-01 09:00,SOx,8.6
한국중부발전㈜신보령발전본부,1,2022-04-01 09:00,NOx,7.73
한국중부발전㈜신보령발전본부,1,2022-04-01 09:30,TSP,0.75
한국중부발전㈜신보령발전본부,1,2022-04-01 09:30,SOx,8.33
한국중부발전㈜신보령발전본부,1,2022-04-01 09:30,NOx,6.26
한국중부발전㈜신보령발전본부,1,2022-04-01 10:00,TSP,0.76
한국중부발전㈜신보령발전본부,1,2022-04-01 10:00,SOx,8.55
한국중부발전㈜신보령발전본부,1,2022-04-01 10:00,NOx,6.97
한국중부발전㈜신보령발전본부,1,2022-04-01 10:30,TSP,0.88
한국중부발전㈜신보령발전본부,1,2022-04-01 10:30,SOx,8.15
한국중부발전㈜신보령발전본부,1,2022-04-01 10:30,NOx,7.03
한국중부발전㈜신보령발전본부,1,2022-04-01 11:00,TSP,0.82
한국중부발전㈜신보령발전본부,1,2022-04-01 11:00,SOx,7.99
한국중부발전㈜신보령발전본부,1,2022-04-01 11:00,NOx,7.97
한국중부발전㈜신보령발전본부,1,2022-04-01 11:30,TSP,0.76
한국중부발전㈜신보령발전본부,1,2022-04-01 11:30,SOx,7.57
한국중부발전㈜신보령발전본부,1,2022-04-01 11:30,NOx,6.96
한국중부발전㈜신보령발전본부,1,2022-04-01 12:00,TSP,0.9
한국중부발전㈜신보령발전본부,1,2022-04-01 12:00,SOx,7.29
한국중부발전㈜신보령발전본부,1,2022-04-01 12:00,NOx,7.14
한국중부발전㈜신보령발전본부,1,2022-04-01 12:30,TSP,0.78
한국중부발전㈜신보령발전본부,1,2022-04-01 12:30,SOx,7.59
한국중부발전㈜신보령발전본부,1,2022-04-01 12:30,NOx,6.7
한국중부발전㈜신보령발전본부,1,2022-04-01 13:00,TSP,0.79
한국중부발전㈜신보령발전본부,1,2022-04-01 13:00,SOx,8.31
한국중부발전㈜신보령발전본부,1,2022-04-01 13:00,NOx,6.77
한국중부발전㈜신보령발전본부,1,2022-04-01 13:30,TSP,0.76
한국중부발전㈜신보령발전본부,1,2022-04-01 13:30,SOx,8.02
한국중부발전㈜신보령발전본부,1,2022-04-01 13:30,NOx,6.42
한국중부발전㈜신보령발전본부,1,2022-04-01 14:00,TSP,0.69
한국중부발전㈜신보령발전본부,1,2022-04-01 14:00,SOx,8.49
한국중부발전㈜신보령발전본부,1,2022-04-01 14:00,NOx,6.71
한국중부발전㈜신보령발전본부,1,2022-04-01 14:30,TSP,0.72
한국중부발전㈜신보령발전본부,1,2022-04-01 14:30,SOx,7.44
한국중부발전㈜신보령발전본부,1,2022-04-01 14:30,NOx,6.39
한국중부발전㈜신보령발전본부,1,2022-04-01 15:00,TSP,0.76
한국중부발전㈜신보령발전본부,1,2022-04-01 15:00,SOx,7.38
한국중부발전㈜신보령발전본부,1,2022-04-01 15:00,NOx,8.57
한국중부발전㈜신보령발전본부,1,2022-04-01 15:30,TSP,0.77
한국중부발전㈜신보령발전본부,1,2022-04-01 15:30,SOx,7.67
한국중부발전㈜신보령발전본부,1,2022-04-01 15:30,NOx,9.09
한국중부발전㈜신보령발전본부,1,2022-04-01 16:00,TSP,0.84
한국중부발전㈜신보령발전본부,1,2022-04-01 16:00,SOx,8.29
한국중부발전㈜신보령발전본부,1,2022-04-01 16:00,NOx,9.06
한국중부발전㈜신보령발전본부,1,2022-04-01 16:30,TSP,0.81
한국중부발전㈜신보령발전본부,1,2022-04-01 16:30,SOx,8.52
한국중부발전㈜신보령발전본부,1,2022-04-01 16:30,NOx,7.75
한국중부발전㈜신보령발전본부,1,2022-04-01 17:00,TSP,0.77
한국중부발전㈜신보령발전본부,1,2022-04-01 17:00,SOx,9.27
한국중부발전㈜신보령발전본부,1,2022-04-01 17:00,NOx,7.97
한국중부발전㈜신보령발전본부,1,2022-04-01 17:30,TSP,0.83
한국중부발전㈜신보령발전본부,1,2022-04-01 17:30,SOx,9.29
한국중부발전㈜신보령발전본부,1,2022-04-01 17:30,NOx,8.84
한국중부발전㈜신보령발전본부,1,2022-04-01 18:00,TSP,0.84
한국중부발전㈜신보령발전본부,1,2022-04-01 18:00,SOx,9.36
한국중부발전㈜신보령발전본부,1,2022-04-01 18:00,NOx,8.15
한국중부발전㈜신보령발전본부,1,2022-04-01 18:30,TSP,0.89
한국중부발전㈜신보령발전본부,1,2022-04-01 18:30,SOx,9.44
한국중부발전㈜신보령발전본부,1,2022-04-01 18:30,NOx,9.04
한국중부발전㈜신보령발전본부,1,2022-04-01 19:00,TSP,0.93
한국중부발전㈜신보령발전본부,1,2022-04-01 19:00,SOx,9.97
한국중부발전㈜신보령발전본부,1,2022-04-01 19:00,NOx,9.73
한국중부발전㈜신보령발전본부,1,2022-04-01 19:30,TSP,0.87
한국중부발전㈜신보령발전본부,1,2022-04-01 19:30,SOx,9.64
한국중부발전㈜신보령발전본부,1,2022-04-01 19:30,NOx,10.12
한국중부발전㈜신보령발전본부,1,2022-04-01 20:00,TSP,0.86
한국중부발전㈜신보령발전본부,1,2022-04-01 20:00,SOx,9.16
한국중부발전㈜신보령발전본부,1,2022-04-01 20:00,NOx,10.27
한국중부발전㈜신보령발전본부,1,2022-04-01 20:30,TSP,0.82
한국중부발전㈜신보령발전본부,1,2022-04-01 20:30,SOx,9.21
한국중부발전㈜신보령발전본부,1,2022-04-01 20:30,NOx,9.95
한국중부발전㈜신보령발전본부,1,2022-04-01 21:00,TSP,0.83
한국중부발전㈜신보령발전본부,1,2022-04-01 21:00,SOx,9.18
한국중부발전㈜신보령발전본부,1,2022-04-01 21:00,NOx,9.15
한국중부발전㈜신보령발전본부,1,2022-04-01 21:30,TSP,0.85
한국중부발전㈜신보령발전본부,1,2022-04-01 21:30,SOx,8.89
한국중부발전㈜신보령발전본부,1,2022-04-01 21:30,NOx,9.12
한국중부발전㈜신보령발전본부,1,2022-04-01 22:00,TSP,0.81
한국중부발전㈜신보령발전본부,1,2022-04-01 22:00,SOx,9.22
한국중부발전㈜신보령발전본부,1,2022-04-01 22:00,NOx,9.18
한국중부발전㈜신보령발전본부,1,2022-04-01 22:30,TSP,0.77
한국중부발전㈜신보령발전본부,1,2022-04-01 22:30,SOx,9.66
한국중부발전㈜신보령발전본부,1,2022-04-01 22:30,NOx,8.4
한국중부발전㈜신보령발전본부,1,2022-04-01 23:00,TSP,0.83
한국중부발전㈜신보령발전본부,1,2022-04-01 23:00,SOx,9.59
한국중부발전㈜신보령발전본부,1,2022-04-01 23:00,NOx,8.57
한국중부발전㈜신보령발전본부,1,2022-04-01 23:30,TSP,0.72
한국중부발전㈜신보령발전본부,1,2022-04-01 23:30,SOx,7.72
한국중부발전㈜신보령발전본부,1,2022-04-01 23:30,NOx,9.47
한국중부발전㈜신보령발전본부,1,2022-04-02 00:00,TSP,0.69
한국중부발전㈜신보령발전본부,1,2022-04-02 00:00,SOx,6.76
한국중부발전㈜신보령발전본부,1,2022-04-02 00:00,NOx,7.99
한국중부발전㈜신보령발전본부,1,2022-04-02 00:30,TSP,0.69
한국중부발전㈜신보령발전본부,1,2022-04-02 00:30,SOx,6.11
한국중부발전㈜신보령발전본부,1,2022-04-02 00:30,NOx,6.67
한국중부발전㈜신보령발전본부,1,2022-04-02 01:00,TSP,0.68
한국중부발전㈜신보령발전본부,1,2022-04-02 01:00,SOx,5.83
한국중부발전㈜신보령발전본부,1,2022-04-02 01:00,NOx,6.47
한국중부발전㈜신보령발전본부,1,2022-04-02 01:30,TSP,0.68
한국중부발전㈜신보령발전본부,1,2022-04-02 01:30,SOx,5.54
한국중부발전㈜신보령발전본부,1,2022-04-02 01:30,NOx,6.83
한국중부발전㈜신보령발전본부,1,2022-04-02 02:00,TSP,0.68
한국중부발전㈜신보령발전본부,1,2022-04-02 02:00,SOx,5.66
한국중부발전㈜신보령발전본부,1,2022-04-02 02:00,NOx,6.48
한국중부발전㈜신보령발전본부,1,2022-04-02 02:30,TSP,0.71
한국중부발전㈜신보령발전본부,1,2022-04-02 02:30,SOx,5.49
한국중부발전㈜신보령발전본부,1,2022-04-02 02:30,NOx,6.16
한국중부발전㈜신보령발전본부,1,2022-04-02 03:00,TSP,0.73
한국중부발전㈜신보령발전본부,1,2022-04-02 03:00,SOx,5.47
한국중부발전㈜신보령발전본부,1,2022-04-02 03:00,NOx,6.69
한국중부발전㈜신보령발전본부,1,2022-04-02 03:30,TSP,0.69
한국중부발전㈜신보령발전본부,1,2022-04-02 03:30,SOx,5.29
한국중부발전㈜신보령발전본부,1,2022-04-02 03:30,NOx,6.43
한국중부발전㈜신보령발전본부,1,2022-04-02 04:00,TSP,0.67
한국중부발전㈜신보령발전본부,1,2022-04-02 04:00,SOx,4.59
한국중부발전㈜신보령발전본부,1,2022-04-02 04:00,NOx,6.11
한국중부발전㈜신보령발전본부,1,2022-04-02 04:30,TSP,0.67
한국중부발전㈜신보령발전본부,1,2022-04-02 04:30,SOx,4.98
한국중부발전㈜신보령발전본부,1,2022-04-02 04:30,NOx,6.75
한국중부발전㈜신보령발전본부,1,2022-04-02 05:00,TSP,0.65
한국중부발전㈜신보령발전본부,1,2022-04-02 05:00,SOx,4.74
한국중부발전㈜신보령발전본부,1,2022-04-02 05:00,NOx,6.61
한국중부발전㈜신보령발전본부,1,2022-04-02 05:30,TSP,0.64
한국중부발전㈜신보령발전본부,1,2022-04-02 05:30,SOx,4.76
한국중부발전㈜신보령발전본부,1,2022-04-02 05:30,NOx,7.15
한국중부발전㈜신보령발전본부,1,2022-04-02 06:00,TSP,0.66
한국중부발전㈜신보령발전본부,1,2022-04-02 06:00,SOx,4.77
한국중부발전㈜신보령발전본부,1,2022-04-02 06:00,NOx,6.8
한국중부발전㈜신보령발전본부,1,2022-04-02 06:30,TSP,0.66
한국중부발전㈜신보령발전본부,1,2022-04-02 06:30,SOx,4.88
한국중부발전㈜신보령발전본부,1,2022-04-02 06:30,NOx,6.19
한국중부발전㈜신보령발전본부,1,2022-04-02 07:00,TSP,0.65
한국중부발전㈜신보령발전본부,1,2022-04-02 07:00,SOx,4.84
한국중부발전㈜신보령발전본부,1,2022-04-02 07:00,NOx,7.46
한국중부발전㈜신보령발전본부,1,2022-04-02 07:30,TSP,0.65
한국중부발전㈜신보령발전본부,1,2022-04-02 07:30,SOx,5.58
한국중부발전㈜신보령발전본부,1,2022-04-02 07:30,NOx,6.77
한국중부발전㈜신보령발전본부,1,2022-04-02 08:00,TSP,0.66
한국중부발전㈜신보령발전본부,1,2022-04-02 08:00,SOx,5.37
한국중부발전㈜신보령발전본부,1,2022-04-02 08:00,NOx,5.94
한국중부발전㈜신보령발전본부,1,2022-04-02 08:30,TSP,0.67
한국중부발전㈜신보령발전본부,1,2022-04-02 08:30,SOx,5.61
한국중부발전㈜신보령발전본부,1,2022-04-02 08:30,NOx,6.67
한국중부발전㈜신보령발전본부,1,2022-04-02 09:00,TSP,0.66
한국중부발전㈜신보령발전본부,1,2022-04-02 09:00,SOx,5.91
한국중부발전㈜신보령발전본부,1,2022-04-02 09:00,NOx,5.64
한국중부발전㈜신보령발전본부,1,2022-04-02 09:30,TSP,0.68
한국중부발전㈜신보령발전본부,1,2022-04-02 09:30,SOx,5.31
한국중부발전㈜신보령발전본부,1,2022-04-02 09:30,NOx,4.96
한국중부발전㈜신보령발전본부,1,2022-04-02 10:00,TSP,0.7
한국중부발전㈜신보령발전본부,1,2022-04-02 10:00,SOx,5.57
한국중부발전㈜신보령발전본부,1,2022-04-02 10:00,NOx,5.45
한국중부발전㈜신보령발전본부,1,2022-04-02 10:30,TSP,0.71
한국중부발전㈜신보령발전본부,1,2022-04-02 10:30,SOx,5.25
한국중부발전㈜신보령발전본부,1,2022-04-02 10:30,NOx,4.68
한국중부발전㈜신보령발전본부,1,2022-04-02 11:00,TSP,0.7
한국중부발전㈜신보령발전본부,1,2022-04-02 11:00,SOx,5.19
한국중부발전㈜신보령발전본부,1,2022-04-02 11:00,NOx,6.22
한국중부발전㈜신보령발전본부,1,2022-04-02 11:30,TSP,0.72
한국중부발전㈜신보령발전본부,1,2022-04-02 11:30,SOx,6.05
한국중부발전㈜신보령발전본부,1,2022-04-02 11:30,NOx,4.61
한국중부발전㈜신보령발전본부,1,2022-04-02 12:00,TSP,0.75
한국중부발전㈜신보령발전본부,1,2022-04-02 12:00,SOx,6.79
한국중부발전㈜신보령발전본부,1,2022-04-02 12:00,NOx,4.25
한국중부발전㈜신보령발전본부,1,2022-04-02 12:30,TSP,0.8
한국중부발전㈜신보령발전본부,1,2022-04-02 12:30,SOx,7.01
한국중부발전㈜신보령발전본부,1,2022-04-02 12:30,NOx,2.2
한국중부발전㈜신보령발전본부,1,2022-04-02 13:00,TSP,0.85
한국중부발전㈜신보령발전본부,1,2022-04-02 13:00,SOx,7.42
한국중부발전㈜신보령발전본부,1,2022-04-02 13:00,NOx,2.42
한국중부발전㈜신보령발전본부,1,2022-04-02 13:30,TSP,0.7
한국중부발전㈜신보령발전본부,1,2022-04-02 13:30,SOx,7.71
한국중부발전㈜신보령발전본부,1,2022-04-02 13:30,NOx,2.45
한국중부발전㈜신보령발전본부,1,2022-04-02 14:00,TSP,0.72
한국중부발전㈜신보령발전본부,1,2022-04-02 14:00,SOx,8.03
한국중부발전㈜신보령발전본부,1,2022-04-02 14:00,NOx,2.73
한국중부발전㈜신보령발전본부,1,2022-04-02 14:30,TSP,0.77
한국중부발전㈜신보령발전본부,1,2022-04-02 14:30,SOx,8.1
한국중부발전㈜신보령발전본부,1,2022-04-02 14:30,NOx,2.57
한국중부발전㈜신보령발전본부,1,2022-04-02 15:00,TSP,0.76
한국중부발전㈜신보령발전본부,1,2022-04-02 15:00,SOx,7.42
한국중부발전㈜신보령발전본부,1,2022-04-02 15:00,NOx,2.47
한국중부발전㈜신보령발전본부,1,2022-04-02 15:30,TSP,0.77
한국중부발전㈜신보령발전본부,1,2022-04-02 15:30,SOx,7.57
한국중부발전㈜신보령발전본부,1,2022-04-02 15:30,NOx,1.89
한국중부발전㈜신보령발전본부,1,2022-04-02 16:00,TSP,0.78
한국중부발전㈜신보령발전본부,1,2022-04-02 16:00,SOx,7.49
한국중부발전㈜신보령발전본부,1,2022-04-02 16:00,NOx,1.81
한국중부발전㈜신보령발전본부,1,2022-04-02 16:30,TSP,0.78
한국중부발전㈜신보령발전본부,1,2022-04-02 16:30,SOx,7.46
한국중부발전㈜신보령발전본부,1,2022-04-02 16:30,NOx,2.13
한국중부발전㈜신보령발전본부,1,2022-04-02 17:00,TSP,0.8
한국중부발전㈜신보령발전본부,1,2022-04-02 17:00,SOx,7.31
