사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜신보령발전본부,1,2019-10-01 00:00,TSP,2.38
한국중부발전㈜신보령발전본부,1,2019-10-01 00:00,SOx,12.64
한국중부발전㈜신보령발전본부,1,2019-10-01 00:00,NOx,12.04
한국중부발전㈜신보령발전본부,1,2019-10-01 00:00,O₂,4.73
한국중부발전㈜신보령발전본부,1,2019-10-01 00:00,FL1,1445392.0
한국중부발전㈜신보령발전본부,1,2019-10-01 00:00,TMP,88.19
한국중부발전㈜신보령발전본부,1,2019-10-01 00:30,TSP,2.42
한국중부발전㈜신보령발전본부,1,2019-10-01 00:30,SOx,12.56
한국중부발전㈜신보령발전본부,1,2019-10-01 00:30,NOx,11.83
한국중부발전㈜신보령발전본부,1,2019-10-01 00:30,O₂,4.72
한국중부발전㈜신보령발전본부,1,2019-10-01 00:30,FL1,1438586.0
한국중부발전㈜신보령발전본부,1,2019-10-01 00:30,TMP,88.09
한국중부발전㈜신보령발전본부,1,2019-10-01 01:00,TSP,2.44
한국중부발전㈜신보령발전본부,1,2019-10-01 01:00,SOx,12.7
한국중부발전㈜신보령발전본부,1,2019-10-01 01:00,NOx,11.86
한국중부발전㈜신보령발전본부,1,2019-10-01 01:00,O₂,4.76
한국중부발전㈜신보령발전본부,1,2019-10-01 01:00,FL1,1437847.0
한국중부발전㈜신보령발전본부,1,2019-10-01 01:00,TMP,87.93
한국중부발전㈜신보령발전본부,1,2019-10-01 01:30,TSP,2.47
한국중부발전㈜신보령발전본부,1,2019-10-01 01:30,SOx,12.83
한국중부발전㈜신보령발전본부,1,2019-10-01 01:30,NOx,10.58
한국중부발전㈜신보령발전본부,1,2019-10-01 01:30,O₂,4.75
한국중부발전㈜신보령발전본부,1,2019-10-01 01:30,FL1,1431449.0
한국중부발전㈜신보령발전본부,1,2019-10-01 01:30,TMP,87.66
한국중부발전㈜신보령발전본부,1,2019-10-01 02:00,TSP,2.44
한국중부발전㈜신보령발전본부,1,2019-10-01 02:00,SOx,12.86
한국중부발전㈜신보령발전본부,1,2019-10-01 02:00,NOx,8.45
한국중부발전㈜신보령발전본부,1,2019-10-01 02:00,O₂,4.72
한국중부발전㈜신보령발전본부,1,2019-10-01 02:00,FL1,1429721.0
한국중부발전㈜신보령발전본부,1,2019-10-01 02:00,TMP,86.68
한국중부발전㈜신보령발전본부,1,2019-10-01 02:30,TSP,2.41
한국중부발전㈜신보령발전본부,1,2019-10-01 02:30,SOx,12.65
한국중부발전㈜신보령발전본부,1,2019-10-01 02:30,NOx,6.79
한국중부발전㈜신보령발전본부,1,2019-10-01 02:30,O₂,4.72
한국중부발전㈜신보령발전본부,1,2019-10-01 02:30,FL1,1420153.0
한국중부발전㈜신보령발전본부,1,2019-10-01 02:30,TMP,85.93
한국중부발전㈜신보령발전본부,1,2019-10-01 03:00,TSP,2.39
한국중부발전㈜신보령발전본부,1,2019-10-01 03:00,SOx,12.69
한국중부발전㈜신보령발전본부,1,2019-10-01 03:00,NOx,6.11
한국중부발전㈜신보령발전본부,1,2019-10-01 03:00,O₂,4.75
한국중부발전㈜신보령발전본부,1,2019-10-01 03:00,FL1,1422021.0
한국중부발전㈜신보령발전본부,1,2019-10-01 03:00,TMP,85.65
한국중부발전㈜신보령발전본부,1,2019-10-01 03:30,TSP,2.31
한국중부발전㈜신보령발전본부,1,2019-10-01 03:30,SOx,12.61
한국중부발전㈜신보령발전본부,1,2019-10-01 03:30,NOx,5.15
한국중부발전㈜신보령발전본부,1,2019-10-01 03:30,O₂,4.74
한국중부발전㈜신보령발전본부,1,2019-10-01 03:30,FL1,1423349.0
한국중부발전㈜신보령발전본부,1,2019-10-01 03:30,TMP,85.4
한국중부발전㈜신보령발전본부,1,2019-10-01 04:00,TSP,2.27
한국중부발전㈜신보령발전본부,1,2019-10-01 04:00,SOx,12.38
한국중부발전㈜신보령발전본부,1,2019-10-01 04:00,NOx,6.48
한국중부발전㈜신보령발전본부,1,2019-10-01 04:00,O₂,4.72
한국중부발전㈜신보령발전본부,1,2019-10-01 04:00,FL1,1426178.0
한국중부발전㈜신보령발전본부,1,2019-10-01 04:00,TMP,85.76
한국중부발전㈜신보령발전본부,1,2019-10-01 04:30,TSP,2.32
한국중부발전㈜신보령발전본부,1,2019-10-01 04:30,SOx,12.33
한국중부발전㈜신보령발전본부,1,2019-10-01 04:30,NOx,7.75
한국중부발전㈜신보령발전본부,1,2019-10-01 04:30,O₂,4.73
한국중부발전㈜신보령발전본부,1,2019-10-01 04:30,FL1,1428963.0
한국중부발전㈜신보령발전본부,1,2019-10-01 04:30,TMP,85.91
