사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전(주)신서천발전본부,1,2022-10-01 00:00,TSP,0.83
한국중부발전(주)신서천발전본부,1,2022-10-01 00:00,SOx,3.39
한국중부발전(주)신서천발전본부,1,2022-10-01 00:00,NOx,7.2
한국중부발전(주)신서천발전본부,1,2022-10-01 00:00,O₂,5.51
한국중부발전(주)신서천발전본부,1,2022-10-01 00:00,FL1,1235931.0
한국중부발전(주)신서천발전본부,1,2022-10-01 00:00,TMP,88.32
한국중부발전(주)신서천발전본부,1,2022-10-01 00:30,TSP,0.84
한국중부발전(주)신서천발전본부,1,2022-10-01 00:30,SOx,2.9
한국중부발전(주)신서천발전본부,1,2022-10-01 00:30,NOx,7.13
한국중부발전(주)신서천발전본부,1,2022-10-01 00:30,O₂,5.54
한국중부발전(주)신서천발전본부,1,2022-10-01 00:30,FL1,1234148.0
한국중부발전(주)신서천발전본부,1,2022-10-01 00:30,TMP,88.16
한국중부발전(주)신서천발전본부,1,2022-10-01 01:00,TSP,0.83
한국중부발전(주)신서천발전본부,1,2022-10-01 01:00,SOx,2.93
한국중부발전(주)신서천발전본부,1,2022-10-01 01:00,NOx,6.83
한국중부발전(주)신서천발전본부,1,2022-10-01 01:00,O₂,5.53
한국중부발전(주)신서천발전본부,1,2022-10-01 01:00,FL1,1238845.0
한국중부발전(주)신서천발전본부,1,2022-10-01 01:00,TMP,88.0
한국중부발전(주)신서천발전본부,1,2022-10-01 01:30,TSP,0.81
한국중부발전(주)신서천발전본부,1,2022-10-01 01:30,SOx,3.32
한국중부발전(주)신서천발전본부,1,2022-10-01 01:30,NOx,6.87
한국중부발전(주)신서천발전본부,1,2022-10-01 01:30,O₂,5.45
한국중부발전(주)신서천발전본부,1,2022-10-01 01:30,FL1,1240021.0
한국중부발전(주)신서천발전본부,1,2022-10-01 01:30,TMP,88.0
한국중부발전(주)신서천발전본부,1,2022-10-01 02:00,TSP,0.82
한국중부발전(주)신서천발전본부,1,2022-10-01 02:00,SOx,3.98
한국중부발전(주)신서천발전본부,1,2022-10-01 02:00,NOx,7.32
한국중부발전(주)신서천발전본부,1,2022-10-01 02:00,O₂,5.46
한국중부발전(주)신서천발전본부,1,2022-10-01 02:00,FL1,1232368.0
한국중부발전(주)신서천발전본부,1,2022-10-01 02:00,TMP,88.07
한국중부발전(주)신서천발전본부,1,2022-10-01 02:30,TSP,0.83
한국중부발전(주)신서천발전본부,1,2022-10-01 02:30,SOx,4.06
한국중부발전(주)신서천발전본부,1,2022-10-01 02:30,NOx,7.29
한국중부발전(주)신서천발전본부,1,2022-10-01 02:30,O₂,5.53
한국중부발전(주)신서천발전본부,1,2022-10-01 02:30,FL1,1234492.0
한국중부발전(주)신서천발전본부,1,2022-10-01 02:30,TMP,88.04
한국중부발전(주)신서천발전본부,1,2022-10-01 03:00,TSP,0.82
한국중부발전(주)신서천발전본부,1,2022-10-01 03:00,SOx,3.32
한국중부발전(주)신서천발전본부,1,2022-10-01 03:00,NOx,7.56
한국중부발전(주)신서천발전본부,1,2022-10-01 03:00,O₂,5.5
한국중부발전(주)신서천발전본부,1,2022-10-01 03:00,FL1,1234104.0
한국중부발전(주)신서천발전본부,1,2022-10-01 03:00,TMP,88.09
한국중부발전(주)신서천발전본부,1,2022-10-01 03:30,TSP,0.83
한국중부발전(주)신서천발전본부,1,2022-10-01 03:30,SOx,2.71
한국중부발전(주)신서천발전본부,1,2022-10-01 03:30,NOx,7.48
한국중부발전(주)신서천발전본부,1,2022-10-01 03:30,O₂,5.45
한국중부발전(주)신서천발전본부,1,2022-10-01 03:30,FL1,1240985.0
한국중부발전(주)신서천발전본부,1,2022-10-01 03:30,TMP,88.13
한국중부발전(주)신서천발전본부,1,2022-10-01 04:00,TSP,0.84
한국중부발전(주)신서천발전본부,1,2022-10-01 04:00,SOx,2.7
한국중부발전(주)신서천발전본부,1,2022-10-01 04:00,NOx,7.67
한국중부발전(주)신서천발전본부,1,2022-10-01 04:00,O₂,5.53
한국중부발전(주)신서천발전본부,1,2022-10-01 04:00,FL1,1233139.0
한국중부발전(주)신서천발전본부,1,2022-10-01 04:00,TMP,88.0
한국중부발전(주)신서천발전본부,1,2022-10-01 04:30,TSP,0.84
한국중부발전(주)신서천발전본부,1,2022-10-01 04:30,SOx,3.27
한국중부발전(주)신서천발전본부,1,2022-10-01 04:30,NOx,8.04
한국중부발전(주)신서천발전본부,1,2022-10-01 04:30,O₂,5.53
한국중부발전(주)신서천발전본부,1,2022-10-01 04:30,FL1,1234363.0
한국중부발전(주)신서천발전본부,1,2022-10-01 04:30,TMP,87.83
한국중부발전(주)신서천발전본부,1,2022-10-01 05:00,TSP,0.84
한국중부발전(주)신서천발전본부,1,2022-10-01 05:00,SOx,3.91
한국중부발전(주)신서천발전본부,1,2022-10-01 05:00,NOx,8.46
한국중부발전(주)신서천발전본부,1,2022-10-01 05:00,O₂,5.52
한국중부발전(주)신서천발전본부,1,2022-10-01 05:00,FL1,1230678.0
한국중부발전(주)신서천발전본부,1,2022-10-01 05:00,TMP,87.72
한국중부발전(주)신서천발전본부,1,2022-10-01 05:30,TSP,0.83
한국중부발전(주)신서천발전본부,1,2022-10-01 05:30,SOx,4.07
한국중부발전(주)신서천발전본부,1,2022-10-01 05:30,NOx,8.62
한국중부발전(주)신서천발전본부,1,2022-10-01 05:30,O₂,5.48
한국중부발전(주)신서천발전본부,1,2022-10-01 05:30,FL1,1240582.0
한국중부발전(주)신서천발전본부,1,2022-10-01 05:30,TMP,87.61
한국중부발전(주)신서천발전본부,1,2022-10-01 06:00,TSP,0.82
한국중부발전(주)신서천발전본부,1,2022-10-01 06:00,SOx,2.83
한국중부발전(주)신서천발전본부,1,2022-10-01 06:00,NOx,8.14
한국중부발전(주)신서천발전본부,1,2022-10-01 06:00,O₂,5.79
한국중부발전(주)신서천발전본부,1,2022-10-01 06:00,FL1,1102521.0
한국중부발전(주)신서천발전본부,1,2022-10-01 06:00,TMP,87.82
한국중부발전(주)신서천발전본부,1,2022-10-01 06:30,TSP,0.87
한국중부발전(주)신서천발전본부,1,2022-10-01 06:30,SOx,1.93
한국중부발전(주)신서천발전본부,1,2022-10-01 06:30,NOx,10.0
한국중부발전(주)신서천발전본부,1,2022-10-01 06:30,O₂,6.55
한국중부발전(주)신서천발전본부,1,2022-10-01 06:30,FL1,928691.0
한국중부발전(주)신서천발전본부,1,2022-10-01 06:30,TMP,87.81
한국중부발전(주)신서천발전본부,1,2022-10-01 07:00,TSP,0.98
한국중부발전(주)신서천발전본부,1,2022-10-01 07:00,SOx,1.39
한국중부발전(주)신서천발전본부,1,2022-10-01 07:00,NOx,8.05
한국중부발전(주)신서천발전본부,1,2022-10-01 07:00,O₂,7.5
한국중부발전(주)신서천발전본부,1,2022-10-01 07:00,FL1,811435.0
한국중부발전(주)신서천발전본부,1,2022-10-01 07:00,TMP,88.29
한국중부발전(주)신서천발전본부,1,2022-10-01 07:30,TSP,1.07
한국중부발전(주)신서천발전본부,1,2022-10-01 07:30,SOx,1.14
한국중부발전(주)신서천발전본부,1,2022-10-01 07:30,NOx,5.69
한국중부발전(주)신서천발전본부,1,2022-10-01 07:30,O₂,8.26
한국중부발전(주)신서천발전본부,1,2022-10-01 07:30,FL1,671114.0
한국중부발전(주)신서천발전본부,1,2022-10-01 07:30,TMP,88.81
한국중부발전(주)신서천발전본부,1,2022-10-01 08:00,TSP,1.37
한국중부발전(주)신서천발전본부,1,2022-10-01 08:00,SOx,0.69
한국중부발전(주)신서천발전본부,1,2022-10-01 08:00,NOx,15.59
한국중부발전(주)신서천발전본부,1,2022-10-01 08:00,O₂,10.48
한국중부발전(주)신서천발전본부,1,2022-10-01 08:00,FL1,460902.0
한국중부발전(주)신서천발전본부,1,2022-10-01 08:00,TMP,87.27
한국중부발전(주)신서천발전본부,1,2022-10-01 08:30,TSP,2.12
한국중부발전(주)신서천발전본부,1,2022-10-01 08:30,SOx,0.84
한국중부발전(주)신서천발전본부,1,2022-10-01 08:30,NOx,71.95
한국중부발전(주)신서천발전본부,1,2022-10-01 08:30,O₂,13.52
한국중부발전(주)신서천발전본부,1,2022-10-01 08:30,FL1,312019.0
한국중부발전(주)신서천발전본부,1,2022-10-01 08:30,TMP,86.94
한국중부발전(주)신서천발전본부,1,2022-10-01 09:00,TSP,158.86
한국중부발전(주)신서천발전본부,1,2022-10-01 09:00,SOx,3.97
한국중부발전(주)신서천발전본부,1,2022-10-01 09:00,NOx,46.4
한국중부발전(주)신서천발전본부,1,2022-10-01 09:00,O₂,18.18
한국중부발전(주)신서천발전본부,1,2022-10-01 09:00,FL1,113239.0
한국중부발전(주)신서천발전본부,1,2022-10-01 09:00,TMP,86.32
한국중부발전(주)신서천발전본부,1,2022-10-01 09:30,TSP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 09:30,SOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 09:30,NOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 09:30,O₂,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 09:30,FL1,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 09:30,TMP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:00,TSP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:00,SOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:00,NOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:00,O₂,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:00,FL1,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:00,TMP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:30,TSP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:30,SOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:30,NOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:30,O₂,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:30,FL1,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 10:30,TMP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:00,TSP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:00,SOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:00,NOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:00,O₂,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:00,FL1,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:00,TMP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:30,TSP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:30,SOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:30,NOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:30,O₂,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:30,FL1,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 11:30,TMP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 12:00,TSP,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 12:00,SOx,0.0
한국중부발전(주)신서천발전본부,1,2022-10-01 12:00,NOx,0.0
